Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 null Lucid Dream ;450513;   2 : 0   ; Maple null ;95638;Первая команда;Гипотеза верна
 35 Order ;33271; перенесён                                     ; Athletico null ;4650;Первая команда;Гипотеза не верна
 null TnC ;92516;   1 : 2   ; Beyond 97 ;220168;Первая команда;Гипотеза верна
 null BOOT-dS ;246555;   2 : 0   ; VG.Anthrax null ;12775;Первая команда;Гипотеза верна
 null Lucid Dream ;159357;   2 : 0   ; AOES 116 ;19071;Вторая команда;Гипотеза верна
 null Alpha Red ;74698;   0 : 2   ; Maple null ;10486;Первая команда;Гипотеза верна
 null Ghost old ;186163;   2 : 0   ; Infinity (colomb) null ;11986;Первая команда;Гипотеза верна
 null NONAME ;1248;   2 : 0   ; Divine Soldiers null ;618;Вторая команда;Гипотеза верна
 2 Liquid ;312513;   2 : 0   ; Spacestation null ;11835;Первая команда;Гипотеза верна
 13 FURIA ;68804;   16 : 6   ; Ascent 128 ;10603;Первая команда;Гипотеза верна
 null ratoes ;1929;   19 : 17   ; Santos 140 ;3242;Первая команда;Гипотеза не верна
 45 INTZ ;60163;   2 : 1   ; Luminosity 36 ;125490;Вторая команда;Гипотеза не верна
 29 eUnited ;88950;   1 : 2   ; Cloud9 old null ;224913;Первая команда;Гипотеза не верна
 null WePlayGames ;51974;   16 : 13   ; W7M 127 ;74102;Вторая команда;Гипотеза верна
 13 FURIA ;112557;   16 : 8   ; Variance 123 ;12758;Вторая команда;Гипотеза верна
 133 Red Canids ;28641;   16 : 3   ; Itakera Classic null ;9906;Вторая команда;Гипотеза не верна
 105 Inflames ;71329;   22 : 19   ; paiN 84 ;132778;Первая команда;Гипотеза не верна
 47 Singularity ;32722;   0 : 2   ; mibr 17 ;297048;Первая команда;Гипотеза не верна
 140 Santos ;899;   9 : 16   ; Inflames 105 ;3647;Первая команда;Гипотеза верна
 127 W7M ;9955;   6 : 16   ; paiN 84 ;12555;Вторая команда;Гипотеза верна
 null Cloud9 old ;124776;   2 : 0   ; eUnited 29 ;83542;Вторая команда;Гипотеза не верна
 15 Heroic ;844557;   2 : 0   ; BIG 24 ;764857;Вторая команда;Гипотеза верна
 76 DETONA ;22191;   14 : 16   ; Bulldozer 139 ;6677;Вторая команда;Гипотеза верна
 null MITOS ;164;   0 : 2   ; Red Canids 133 ;118;Первая команда;Гипотеза верна
 null Alma ;7004;   0 : 2   ; Falkol null ;3077;Вторая команда;Гипотеза верна
 null Neverest ;1495;   0 : 2   ; TRZ null ;472;Первая команда;Гипотеза не верна
 null Evidence ;5580;   2 : 0   ; Redemption POA 138 ;6574;Первая команда;Гипотеза верна
 136 Team Reapers ;6138;   8 : 16   ; Redemption POA 138 ;6295;Вторая команда;Гипотеза не верна
 20 OpTic ;321568;   2 : 0   ; NiP 14 ;718291;Первая команда;Гипотеза верна
 12 FaZe ;590056;   2 : 0   ; G2 10 ;596160;Первая команда;Гипотеза верна
 43 AGO ;251666;   16 : 4   ; expert 63 ;65676;Первая команда;Гипотеза не верна
 49 Epsilon ;60383;   2 : 0   ; HAVU 48 ;101832;Первая команда;Гипотеза верна
 62 SJ Gaming ;39019;   11 : 16   ; Chaos (Sweden) 50 ;86744;Первая команда;Гипотеза верна
 3 Na'Vi ;632150;   1 : 2   ; North 9 ;284817;Вторая команда;Гипотеза верна
 25 Spirit ;118956;   16 : 0   ; forZe 22 ;150674;Первая команда;Гипотеза верна
 65 Izako Boars ;40603;   9 : 16   ; GamerLegion 30 ;135536;Первая команда;Гипотеза верна
 19 AVANGAR ;383709;   2 : 1   ; ex-mouz null ;816344;Первая команда;Гипотеза верна
 7 Fnatic ;377905;   2 : 1   ; VP 41 ;95242;Первая команда;Гипотеза не верна
 21 Sprout ;25252;   16 : 6   ; expert 63 ;7915;Вторая команда;Гипотеза не верна
 49 Epsilon ;455574;   1 : 2   ; Winstrike 40 ;750782;Первая команда;Гипотеза не верна
 48 HAVU ;329327;   13 : 16   ; Movistar Riders 37 ;288397;Вторая команда;Гипотеза верна
 28 Grayhound ;485287; отменен                                     ; Athletico null ;23109;Вторая команда;Гипотеза верна
 67 Ground Zero ;170253;   16 : 7   ; Genuine 87 ;121103;Вторая команда;Гипотеза не верна
 null Justice ;18548;   14 : 16   ; ex-Breakaway null ;39803;Первая команда;Гипотеза не верна
 42 Nemiga ;208620;   0 : 2   ; Chaos (Sweden) 50 ;276312;Первая команда;Гипотеза не верна
 null ex-Breakaway ;73106;   16 : 11   ; Genuine 87 ;63301;Первая команда;Гипотеза верна
 null Fanta ;19629;   9 : 16   ; PopoutBoyz (Rooster) null ;31996;Вторая команда;Гипотеза верна
 null DINQ ;17526; отменен                                     ; Grayhound 28 ;313323;Вторая команда;Гипотеза не верна
 35 Order ;412489;   1 : 2   ; Chiefs 38 ;222591;Вторая команда;Гипотеза верна
 null Denial ;259890;   2 : 0   ; Fake Aim null ;23267;Вторая команда;Гипотеза верна
 13 FURIA ;443955;   16 : 13   ; ATK 71 ;58013;Первая команда;Гипотеза верна
 13 FURIA ;367291;   16 : 1   ; Chris and the boys null ;36582;Вторая команда;Гипотеза верна
 84 paiN ;429196;   2 : 0   ; Inflames 105 ;308137;Первая команда;Гипотеза не верна
 null ex-Fragsters ;65458;   3 : 16   ; Izako Boars 65 ;128388;Первая команда;Гипотеза верна
 31 Ancient ;752907;   2 : 0   ; Copenhagen Flames 68 ;392191;Вторая команда;Гипотеза не верна
 40 Winstrike ;482206;   2 : 0   ; Youngsters 130 ;148753;Первая команда;Гипотеза верна
 46 x-kom ;822624;   2 : 0   ; Vega 51 ;326906;Первая команда;Гипотеза верна
 68 Copenhagen Flames ;179698;   2 : 1   ; AGO 43 ;253530;Первая команда;Гипотеза не верна
 129 Paradox ;32263;   4 : 16   ; Chiefs 38 ;196938;Первая команда;Гипотеза верна
 46 x-kom ;146777;   0 : 2   ; Ancient 31 ;226364;Первая команда;Гипотеза верна
 null Fanta ;755; перенесён                                     ; Athletico null ;4087;Вторая команда;Гипотеза верна
 32 Tricked ;397959;   2 : 1   ; Nemiga 42 ;220170;Первая команда;Гипотеза верна
 null Athletico ;1842;   0 : 3   ; Fighting 4 Freedom null ;603;Первая команда;Гипотеза верна
 null PopoutBoyz (Rooster) ;68692;   9 : 16   ; Jade 113 ;126219;Вторая команда;Гипотеза верна
 null Justice ;115319;   9 : 16   ; Ground Zero 67 ;310987;Первая команда;Гипотеза верна
 null Rstar ;3941;   0 : 2   ; IPET null ;12026;Первая команда;Гипотеза верна
 null Very1z ;4233;   2 : 0   ; NONAME null ;2315;Первая команда;Гипотеза не верна
 null wNv ;10341;   2 : 0   ; WBNMSL null ;4868;Вторая команда;Гипотеза не верна
 null NIRVANA ;171041;   2 : 0   ; Wolf5 null ;55758;Первая команда;Гипотеза не верна
 78 Bad News Bears ;273066;   2 : 1   ; Singularity 47 ;614769;Вторая команда;Гипотеза верна
 62 SJ Gaming ;126285;   0 : 2   ; Nordavind 57 ;141070;Вторая команда;Гипотеза верна
 22 forZe ;214391;   1 : 2   ; Ancient 31 ;170838;Вторая команда;Гипотеза не верна
 43 AGO ;642998;   2 : 1   ; Chaos (Sweden) 50 ;575809;Первая команда;Гипотеза не верна
 5 mousesports ;1827231;   2 : 0   ; CR4ZY 11 ;976827;Первая команда;Гипотеза не верна
 46 x-kom ;190990;   2 : 0   ; HAVU 48 ;148874;Первая команда;Гипотеза верна
 68 Copenhagen Flames ;20926;   2 : 0   ; LPSP null ;24405;Вторая команда;Гипотеза верна
 46 x-kom ;89154;   16 : 14   ; Nemiga 42 ;116984;Вторая команда;Гипотеза не верна
 67 Ground Zero ;35573;   16 : 14   ; Order 35 ;187972;Вторая команда;Гипотеза верна
 11 CR4ZY ;1035234;   2 : 1   ; G2 10 ;852943;Вторая команда;Гипотеза верна
 19 AVANGAR ;669703;   0 : 2   ; mousesports 5 ;1081641;Первая команда;Гипотеза верна
 48 HAVU ;298777;   2 : 0   ; Unique 70 ;130509;Вторая команда;Гипотеза верна
 null LPSP ;57261;   2 : 0   ; SJ Gaming 62 ;71373;Первая команда;Гипотеза не верна
 56 FrenchFrogs ;71561;   0 : 2   ; G2 10 ;186693;Первая команда;Гипотеза верна
 null Berzerk ;78303;   0 : 2   ; expert 63 ;188811;Вторая команда;Гипотеза не верна
 null ViNCO ;40;   2 : 1   ; Online Kingdom null ;27;Первая команда;Гипотеза верна
 null eDGe ;81;   0 : 2   ; Ladon null ;116;Первая команда;Гипотеза верна
 null TOLY ;3008;   2 : 0   ; Scorp null ;2230;Первая команда;Гипотеза не верна
 null White Rabbit ;3110;   0 : 2   ; Exdee null ;3986;Первая команда;Гипотеза верна
 22 forZe ;128969;   2 : 0   ; SJ Gaming 62 ;61648;Первая команда;Гипотеза верна
 43 AGO ;66518;   2 : 1   ; Unique 70 ;38122;Вторая команда;Гипотеза верна
 5 mousesports ;702964;   2 : 0   ; Windigo 27 ;267612;Первая команда;Гипотеза верна
 63 expert ;137231;   2 : 1   ; Panthers null ;49217;Первая команда;Гипотеза верна
 10 G2 ;721289;   2 : 1   ; Ghost old null ;74652;Вторая команда;Гипотеза верна
 69 Unicorns of Love ;157571;   0 : 2   ; Berzerk null ;17280;Первая команда;Гипотеза не верна
 null Instinct ;58254;   0 : 2   ; Windigo 27 ;388394;Первая команда;Гипотеза верна
 58 Sharks ;229340;   0 : 2   ; HAVU 48 ;450433;Первая команда;Гипотеза верна
 null FASTLOSE ;176839;   16 : 9   ; LongHAIRidc null ;65117;Первая команда;Гипотеза не верна
 null LPSP ;124857;   2 : 0   ; LDLC 64 ;53201;Вторая команда;Гипотеза не верна
 50 Chaos (Sweden) ;151961;   2 : 0   ; Epsilon 49 ;177757;Первая команда;Гипотеза не верна
 null LongHAIRidc ;8942;   16 : 9   ; 24SJU null ;11853;Вторая команда;Гипотеза верна
 48 HAVU ;273595;   0 : 2   ; Unique 70 ;87560;Вторая команда;Гипотеза верна
 64 LDLC ;105269;   0 : 2   ; SJ Gaming 62 ;234405;Вторая команда;Гипотеза не верна
 null 24SJU ;3362;   16 : 1   ; Feniks null ;3174;Первая команда;Гипотеза не верна
 56 FrenchFrogs ;289358;   13 : 16   ; AVANGAR 19 ;814962;Первая команда;Гипотеза не верна
 5 mousesports ;1047564;   6 : 16   ; CR4ZY 11 ;660430;Первая команда;Гипотеза верна
 22 forZe ;68541;   2 : 1   ; LPSP null ;17355;Вторая команда;Гипотеза верна
 43 AGO ;190511;   2 : 0   ; Sharks 58 ;117070;Вторая команда;Гипотеза не верна
 19 AVANGAR ;1781819;   16 : 11   ; Ghost old null ;429840;Вторая команда;Гипотеза верна
 27 Windigo ;942224;   5 : 16   ; CR4ZY 11 ;1156938;Вторая команда;Гипотеза верна
 49 Epsilon ;76679;   16 : 2   ; AGO 43 ;163701;Первая команда;Гипотеза верна
 10 G2 ;757636;   15 : 19   ; FrenchFrogs 56 ;178656;Вторая команда;Гипотеза верна
 null ex-mouz ;683065;   16 : 4   ; Instinct null ;72808;Первая команда;Гипотеза не верна
 38 Chiefs ;210269;   16 : 5   ; Fanta null ;16312;Первая команда;Гипотеза верна
 73 Isurus ;113413;   2 : 1   ; coL 26 ;349781;Вторая команда;Гипотеза не верна
 null Royal (prospects) ;39642;   4 : 16   ; Chris and the boys null ;91451;Первая команда;Гипотеза верна
